text,stance_label,confidence,expected_score_band,expected_toxicity_band,expected_supportive_strength_band
International cricket has missed Hetmyer's batting man. Warra batter to view.,NEUTRAL_ANALYSIS,0.3104,"[25.51, 37.51]","[0.0, 0.0802]","[0.0, 0.15]"
This DC fielding man how are they stopping everything man . Till now 4 boundaries stopped,NEUTRAL_ANALYSIS,0.3639,"[31.84, 43.84]","[0.0, 0.0802]","[0.0, 0.15]"
"So 164 at the halfway point between #ENGvPAK.

Par at this ground is 165-170.

There is a 50/50 split on whether those batting first win or lose.

All to play for 

#T20WorldCup",NEUTRAL_ANALYSIS,0.4171,"[33.96, 45.96]","[0.0, 0.0803]","[0.0, 0.15]"
"🚨 BIG BLOW FOR RCB &amp; SRH IN IPL 🚨

- Josh Hazlewood &amp; Pat Cummins will miss the start of the IPL 2026. [Daniel Cherny] https://t.co/4v1lFFU5GM",NEUTRAL_ANALYSIS,0.3149,"[34.64, 46.64]","[0.0, 0.0969]","[0.0, 0.15]"
"𝗔𝗻𝗱 𝘁𝗵𝗲 #𝗜𝗣𝗟𝟮𝟬𝟮𝟲 𝗽𝗿𝗲𝗽 𝗶𝘀 𝗼𝗳𝗳𝗶𝗰𝗶𝗮𝗹𝗹𝘆 𝘂𝗻𝗱𝗲𝗿𝘄𝗮𝘆! 🤩

Our core coaching group and domestic stars hit the pre season camp to get things rolling. 💪🔥

#PlayBold #ನಮ್ಮRCB https://t.co/BqcFcoWZ1C",NEUTRAL_ANALYSIS,0.3174,"[35.12, 47.12]","[0.0, 0.0856]","[0.0, 0.15]"
"RCB = Salt , Venkatesh Iyer , Suyash Sharma 
KKR = Muzarabani , Finn Allen , Tim Sheifert, Akshdeep https://t.co/kjgxghUTyR",NEUTRAL_ANALYSIS,0.3126,"[30.18, 42.18]","[0.0, 0.0802]","[0.0, 0.15]"
"Starc saw all the overseas bowlers getting injured and he felt missed out, so decided to do his regular thing i.e ditching the franchise that signed him lol",MIXED_STANCE,0.3637,"[36.24, 48.24]","[0.0, 0.0803]","[0.0, 0.15]"
"𝗜𝗻𝗷𝘂𝗿𝘆 𝗿𝗲𝗽𝗹𝗮𝗰𝗲𝗺𝗲𝗻𝘁 𝘁𝗼 #𝗧𝗔𝗧𝗔𝗜𝗣𝗟 𝘄𝗶𝗻𝗻𝗶𝗻𝗴 𝗰𝗮𝗽𝘁𝗮𝗶𝗻! 🔥

#OnThisDay last year, we ushered in a new era announcing Rajat Patidar as the captain of RCB. 😇

From stepping in as an injury replacement to leading the side to glory, the journey has been nothing short of special. 💪❤️

#PlayBold #ನಮ್ಮRCB",NEUTRAL_ANALYSIS,0.3089,"[34.49, 46.49]","[0.0, 0.084]","[0.0, 0.15]"
"They had to restrict JSK under 114 for the bonus point.

Forrester denied them the opportunity.

Paarl will now be a do or die game.#BetwaySA20",NEUTRAL_ANALYSIS,0.3158,"[30.87, 42.87]","[0.0, 0.1216]","[0.0, 0.15]"
"Just another day, Bumrah comes in to turn things around in a matter of a few minutes.🫡",NEUTRAL_ANALYSIS,0.3392,"[31.1, 43.1]","[0.0, 0.0802]","[0.0, 0.15]"
Netherlands gave more fight than Pakistan. https://t.co/mkX7pFlybg,NEUTRAL_ANALYSIS,0.3448,"[25.84, 37.84]","[0.0, 0.0809]","[0.0, 0.15]"
"Romario boy warming up before the big event next month... What power, smashes sixes with such ease",CONSTRUCTIVE_CRITICISM,0.3715,"[38.58, 50.58]","[0.0, 0.0831]","[0.0, 0.15]"
"The ECB backing Key, McCullum and Stokes no matter what is starting to look less like stability and more like zero accountability.
When results dip or decisions raise questions, there’s no scrutiny, no probing questions just unwavering support. A half decent world cup run should not covet up for the awful Ashes. 
That doesn’t build a high-performance culture, it risks creating complacency.
Strong teams need both backing and accountability. Right now, one seems to be missing.",NEUTRAL_ANALYSIS,0.2864,"[34.09, 46.09]","[0.0, 0.0802]","[0.0, 0.15]"
"So in todays game Arshdeep Singh surpassed Jasprit Bumrah’s record for the most #T20WorldCup wickets for India

At just 27 years old, he has taken 33 wickets in just 19 games at an average of 14.25!

He flies under the radar with many Indian fans https://t.co/AOdDiwjaO5",NEUTRAL_ANALYSIS,0.298,"[35.14, 47.14]","[0.0, 0.0803]","[0.0, 0.15]"
"And yet again Brook gets out to spin.

Our batting game overall against spin just isn’t good enough.

#ENGvSL #T20WorldCup",NEUTRAL_ANALYSIS,0.3304,"[35.18, 47.18]","[0.0, 0.0805]","[0.0, 0.15]"
Many people will call out his reply as arrogance. It’s actually not. He is a strong character and a very confident human being. You need your head coach to be confident and the language he speaks will inspire and get the best out of the players.,MIXED_STANCE,0.2927,"[33.89, 45.89]","[0.0329, 0.1929]","[0.0, 0.15]"
"By saying this, he exposed himself what a terrible coach he was and also ensured that he is never going to get a gig with any franchise again.",NEUTRAL_ANALYSIS,0.2947,"[25.93, 37.93]","[0.0327, 0.1927]","[0.0, 0.15]"
"Played an exceptional knock in the very first game of CWC 23 against Aus, which definitely was a crucial game to start the tournament well. Had a fine WC, even scoring 39*(20) in the semis but let's talk abt one knock when he had fillers to come in to bat after him. Played a good enough role in the CT win too. Fine series vs SA, just in the last ODI series vs NZ, scored a ton when other batters struggled to score even 30s in the 2nd ODI. Last thing you should do is, questioning KL's performance in ODIs when there aren't many batters who cracked that role with such consistency.",CONSTRUCTIVE_CRITICISM,0.3356,"[43.72, 55.72]","[0.0, 0.0802]","[0.0, 0.15]"
"Really enjoyed #SA20 this year, barring the washouts.

Pretoria capitals & Paarl Royals have put on a show, JSK & SEC should have run away with it for the start they had and MICT & DSG find themselves where no one expected them to be.

Quality of cricket has been top notch, spectators have thronged the stadiums and the number of cricketers this tournament is throwing up for SA cricket is the best part.👌",NEUTRAL_ANALYSIS,0.2961,"[33.92, 45.92]","[0.0, 0.0802]","[0.0, 0.15]"
"RCB's first two games will play in a 10-12 day gap, so in between or at the end of the tournament, RCB will play continuous 3 or 5 matches, our Oldies getting cooked. Last season was also the same situation.",MIXED_STANCE,0.0671,"[39.22, 51.22]","[0.0, 0.0802]","[0.0, 0.15]"
"There are Ranji Trophy Elite games being played and even tomorrow are scheduled.

But there's no hype or attention.

And Ravichandran Ashwin thinks Ranji wasn't blessed when Rohit Sharma n Virat Kohli were playing 😂

Drop the jealousy n accept the facts, bruh. @ashwinravi99",NEUTRAL_ANALYSIS,0.3483,"[33.45, 45.45]","[0.0, 0.0817]","[0.0, 0.15]"
"Absolute winning move by SRH.

Has been one of the best bowlers on the T20 circuit for a while. 

For those not familiar with him, left armer who excels at the death.",NEUTRAL_ANALYSIS,0.306,"[38.0, 50.0]","[0.0, 0.081]","[0.0, 0.15]"
"ICC's list of nominees for #T20WorldCup POTT:

𝐖𝐢𝐥𝐥 𝐉𝐚𝐜𝐤𝐬
𝐒𝐚𝐧𝐣𝐮 𝐒𝐚𝐦𝐬𝐨𝐧
𝐒𝐚𝐡𝐢𝐛𝐳𝐚𝐝𝐚 𝐅𝐚𝐫𝐡𝐚𝐧
𝐀𝐢𝐝𝐞𝐧 𝐌𝐚𝐫𝐤𝐫𝐚𝐦
𝐑𝐚𝐜𝐡𝐢𝐧 𝐑𝐚𝐯𝐢𝐧𝐝𝐫𝐚
𝐓𝐢𝐦 𝐒𝐞𝐢𝐟𝐞𝐫𝐭
𝐋𝐮𝐧𝐠𝐢 𝐍𝐠𝐢𝐝𝐢
𝐒𝐡𝐚𝐝𝐥𝐞𝐲 𝐯𝐚𝐧 𝐒𝐜𝐡𝐚𝐥𝐤𝐰𝐲𝐤

Who else do you think should have been part of this list? 🤔",NEUTRAL_ANALYSIS,0.3101,"[33.87, 45.87]","[0.0, 0.0896]","[0.0, 0.15]"
Good that SL took Pak along with them here by giving NZ a good NRR boost. Semis so out of reach for the T20 skills those two teams got.,NEUTRAL_ANALYSIS,0.2999,"[39.8, 51.8]","[0.0, 0.0802]","[0.0, 0.15]"
Lungi Ngidi is really going back to his golden days from 2018-19... Bowling so damn well now after a few years of bad run.,MIXED_STANCE,0.0996,"[38.94, 50.94]","[0.0, 0.1004]","[0.0, 0.15]"
"CSK’s number 5/6 in action.

UP were in a tricky situation and the composure Prashant Veer has shown so far augurs well.#VijayHazareTrophy https://t.co/OSiSootA78",NEUTRAL_ANALYSIS,0.2984,"[32.92, 44.92]","[0.0, 0.0802]","[0.0, 0.15]"
Time for RCB to prepare without Hazlewood... Don't see him playing the first phase only not just the first 2 games. We should be happy if he's available for the second phase.,MIXED_STANCE,0.2266,"[74.0, 86.0]","[0.0, 0.0801]","[0.0, 0.15]"
"RCB can use KGF, Salaar etc music for elevation happily. Hombale Films is one RCB sponsor. 😂",NEUTRAL_ANALYSIS,0.3391,"[32.23, 44.23]","[0.0, 0.0802]","[0.0, 0.15]"
Sundar was added as a matchup because SA had QDK &amp; Rickleton in the top 3 but Bumrah packs them both even before Sundar gets to bowl 🤣,MIXED_STANCE,0.1352,"[43.15, 55.15]","[0.0, 0.0805]","[0.0, 0.15]"
Why WI are behaving like they need to improve their NRR further,DIRECT_ATTACK,0.3193,"[24.57, 36.57]","[0.0, 0.0816]","[0.0, 0.15]"
"Brook is playing one of the best innings of this World Cup, with no support from the other end.",NEUTRAL_ANALYSIS,0.3427,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Fair enough to give a shout out to Rob Walter. Coached SA on a brief period saw them get to ODI WC Semi Finals and T20 WC finals and now in a short period finals with NZL in T20 WC. Well done sir.,NEUTRAL_ANALYSIS,0.2988,"[39.95, 51.95]","[0.0, 0.0807]","[0.0, 0.15]"
"Do or die for us today at Paarl. Reminds me of 2010, when we were down and out and needed a win in the final league game just to qualify. 4 wins on the bounce later, we lifted our first title. Happy memories.

Hoping for a repeat this time under the watchful eyes of Pettaikaaran. #JSK #SA20",NEUTRAL_ANALYSIS,0.3147,"[41.29, 53.29]","[0.0, 0.0832]","[0.0, 0.15]"
"Did you not take geography classes in school?

Jamaica is 7500km and a 10 hour flight away from England.

Also England have black players, we don’t make them travel on different flights.

But other than that, you nailed your response. https://t.co/xLk7Bl2mAy",NEUTRAL_ANALYSIS,0.3146,"[35.43, 47.43]","[0.0, 0.0848]","[0.0, 0.15]"
"One thing is certain: all the current backroom staff and coaches will be staying with RCB. That's because the same owners own London Spirit, who have the current RCB backroom staff.",MIXED_STANCE,0.0909,"[44.57, 56.57]","[0.0, 0.0801]","[0.0, 0.15]"
Here is the hotly anticipated – well by at least 1 person – next instalment of the ‘get to know the locals’ series. Today’s focus is on the lesser known players for Gujarat Titans and KKR who might make their way into the team for #IPL2026,MIXED_STANCE,0.0644,"[37.62, 49.62]","[0.0, 0.0802]","[0.0, 0.15]"
"Whatever happens with this horrific meningitis out break and evolving health situation in England, can we just agree that we won’t start panic buying toilet rolls and pasta again?",NEUTRAL_ANALYSIS,0.3271,"[34.06, 46.06]","[0.0, 0.0804]","[0.0, 0.15]"
"I’m actually loving the redemption arc of Ishan Kishan

Sidelined by BCCI for asking for a mental health break
Had his central contact removed
Went back and proved himself in domestic cricket

And now showing on the world stage just how good he is

#INDvsPAK  #T20WorldCup2026",NEUTRAL_ANALYSIS,0.3193,"[32.9, 44.9]","[0.0, 0.1087]","[0.0, 0.15]"
"This is one good pitchman and the ball is swinging. Bethell is a way too class batter, so he survived and was able to score (even he mistimed some balls). No way proper T20 batters survive in this pitch for 6 overs.",CONSTRUCTIVE_CRITICISM,0.3737,"[37.01, 49.01]","[0.0, 0.0805]","[0.0, 0.15]"
Brook vs Pakistan https://t.co/fJiIZNauCE,CONSTRUCTIVE_CRITICISM,0.3118,"[23.54, 35.54]","[0.0, 0.0802]","[0.0, 0.15]"
"Sanju makes a come back at Chepauk and looks in pristine form.

A big summer bonanza in the offing for all the fans.
 
#T20WorldCup https://t.co/7qrCugByt7",NEUTRAL_ANALYSIS,0.3256,"[37.31, 49.31]","[0.0, 0.0807]","[0.0, 0.15]"
"You can keep your flowers and romance, this below looks like the perfect valentines day to me ❤️🏏🏉
#T20WorldCup2026 #sixnations https://t.co/qlPS6WxUOs",NEUTRAL_ANALYSIS,0.3424,"[30.44, 42.44]","[0.0, 0.0805]","[0.0, 0.15]"
They can chase it with bowling more of spinners. We play spin well if Gambhir properly sends batters properly. Dew will come here.,NEUTRAL_ANALYSIS,0.3378,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"With all the injuries to fast bowlers ahead of #ipl teams might need to look to their local uncapped Indian players a little more than expected.

Last week I started a series called ‘meet the locals’ (with huge input from @AbhiChoudhary_7 ) and I have published this as my first substack, link below please give it a read!

https://t.co/xVkLMeUEI3",NEUTRAL_ANALYSIS,0.3166,"[32.55, 44.55]","[0.0, 0.0802]","[0.0, 0.15]"
Batting coach got some serious work to do. No ways you can attempt to play a flick shot with that position. https://t.co/kCdkBkbzOS,CONSTRUCTIVE_CRITICISM,0.3155,"[35.28, 47.28]","[0.0, 0.0802]","[0.0, 0.15]"
Good or bad thing RCB nation?,NEUTRAL_ANALYSIS,0.3138,"[34.0, 46.0]","[0.0, 0.0804]","[0.0, 0.15]"
"🚨 “Paying Pakistani players is like contributing to the deaths of Indians.”

— Sunil Gavaskar on Kavya Maran signing Abrar Ahmed for The Hundred. https://t.co/yupkiIFAFR",NEUTRAL_ANALYSIS,0.3085,"[27.63, 39.63]","[0.0, 0.1042]","[0.0, 0.15]"
England's NRR lmao.... One more win for the semi finals.,NEUTRAL_ANALYSIS,0.3227,"[39.31, 51.31]","[0.0, 0.0802]","[0.0, 0.15]"
