sample_id,text,expected_writer_type,predicted_writer_type,expected_constructive,expected_toxic,expected_score_range,predicted_final_score,constructiveness_signal,reasoning_marker_score,suggestion_score,explanation_depth_score,toxicity_score,toxicity_penalty,writer_confidence,paragraph_count,word_count,deviation_from_expected_midpoint
1,"Supporters should demand smarter execution while still backing every player to improve. I walked out of the ground frustrated, but I still believe this side is close to a strong run. I am asking for practical changes, not panic changes, because the core quality is already present. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. The captain should trust matchup bowling sooner, especially when the set batter targets one side.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.25,0.3333,0.3,0.0002,-0.0,0.3494,1,79,7.5
2,"The captain should trust matchup bowling sooner, especially when the set batter targets one side. Supporters should demand smarter execution while still backing every player to improve. The batting unit can improve by protecting one anchor while hitters attack in pairs. As a long-time supporter, this loss stings, yet my faith in the squad is still firm. Supporters should demand smarter execution while still backing every player to improve. The batting unit can improve by protecting one anchor while hitters attack in pairs.",Passionate Fan,Debater,True,False,75-90,82.0,0.65,0.25,0.6667,0.3,0.0002,-0.0,0.3601,1,83,0.5
3,"I am asking for practical changes, not panic changes, because the core quality is already present. This result hurt, though I still back the team because the effort was visible. The batting unit can improve by protecting one anchor while hitters attack in pairs. That adjustment alone could turn close defeats into stable wins across a long series. The batting unit can improve by protecting one anchor while hitters attack in pairs.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.5,0.6667,0.3,0.0002,-0.0,0.3478,1,72,7.5
4,"As a long-time supporter, this loss stings, yet my faith in the squad is still firm. That adjustment alone could turn close defeats into stable wins across a long series. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. The captain should trust matchup bowling sooner, especially when the set batter targets one side. That adjustment alone could turn close defeats into stable wins across a long series.",Passionate Fan,Passionate Fan,True,False,75-90,68.0,0.58,0.0,0.6667,0.3,0.0002,-0.0,0.416,1,76,14.5
5,"The batting unit can improve by protecting one anchor while hitters attack in pairs. That adjustment alone could turn close defeats into stable wins across a long series. This result hurt, though I still back the team because the effort was visible. Supporters should demand smarter execution while still backing every player to improve. The batting unit can improve by protecting one anchor while hitters attack in pairs. The captain should trust matchup bowling sooner, especially when the set batter targets one side.",Passionate Fan,Analyst,True,False,75-90,82.6,0.65,0.5,1.0,0.3,0.0002,-0.0,0.2676,1,83,0.1
6,"With calmer decisions and better role discipline, this group can recover quickly. The captain should trust matchup bowling sooner, especially when the set batter targets one side. That adjustment alone could turn close defeats into stable wins across a long series. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. I walked out of the ground frustrated, but I still believe this side is close to a strong run.",Passionate Fan,Analyst,True,False,75-90,73.0,0.58,0.0,0.6667,0.3,0.0002,-0.0,0.334,1,77,9.5
7,"That adjustment alone could turn close defeats into stable wins across a long series. I am asking for practical changes, not panic changes, because the core quality is already present. The captain should trust matchup bowling sooner, especially when the set batter targets one side. I walked out of the ground frustrated, but I still believe this side is close to a strong run. The batting unit can improve by protecting one anchor while hitters attack in pairs.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.5,1.0,0.3,0.0002,-0.0,0.2809,1,78,7.5
8,"Supporters should demand smarter execution while still backing every player to improve. Supporters should demand smarter execution while still backing every player to improve. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. This result hurt, though I still back the team because the effort was visible.",Passionate Fan,Passionate Fan,True,False,75-90,75.0,0.65,0.25,0.3333,0.3,0.0002,-0.0,0.4655,1,72,7.5
9,"I am asking for practical changes, not panic changes, because the core quality is already present. Our fielders need a clearer call system at the rope so pressure moments do not become chaos. With calmer decisions and better role discipline, this group can recover quickly. As a long-time supporter, this loss stings, yet my faith in the squad is still firm. The captain should trust matchup bowling sooner, especially when the set batter targets one side.",Passionate Fan,Analyst,True,False,75-90,82.0,0.65,0.25,0.3333,0.3,0.0001,-0.0,0.4089,1,76,0.5
10,"The batting unit can improve by protecting one anchor while hitters attack in pairs. That adjustment alone could turn close defeats into stable wins across a long series. I am asking for practical changes, not panic changes, because the core quality is already present. The captain should trust matchup bowling sooner, especially when the set batter targets one side. I am emotional after that finish, but my criticism comes from loyalty, not anger.",Passionate Fan,Analyst,True,False,75-90,82.25,0.65,0.5,1.0,0.3,0.0002,-0.0,0.2649,1,73,0.25
